date, word, occurrence,,,,,,,,,,,,,,,,,,,
2021-02-01,france,69,photo,7,covid,6,plan,5,paris,4,bonjour,4,pays,4,vient,4,publier,4,prix,4
2021-02-02,france,51,raison,6,macron,6,oui,3,vraiment,3,fr,3,livraison,3,domicile,3,monde,3,covid,3
2021-02-03,france,79,covid,6,jour,6,macron,6,gt,5,franc,4,htt,4,paris,4,oui,4,good,4
